Date,FinBERT score
2022-04-03,-0.22280641396840414
2022-04-04,0.22265446186065674
2022-04-05,0.040128214792771774
2022-04-06,-0.15963499496380487
2022-04-07,0.0
2022-04-08,-0.09603689776526557
2022-04-09,-0.1949206931250436
2022-04-10,-0.12549945712089539
2022-04-11,0.17458724230527878
2022-04-12,-0.13387895375490189
2022-04-13,0.13245311048295763
2022-04-14,0.056408241391181946
2022-04-15,0.2117896258831024
2022-04-16,-0.03705177903175355
2022-04-17,-0.010288804769515991
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,-0.05108048157258467
2022-04-21,0.03194969466754368
2022-04-22,-0.02657235786318779
2022-04-23,0.029385043042046675
2022-04-24,0.11664104745501563
2022-04-25,-0.19673928916454317
2022-04-26,-0.13918464950152806
2022-04-27,-0.3570676904458266
